"created_time","message","id"
"2019-06-09T18:24:42+0000","Wow! She is too good loved the episode","2729925240593441_1182048081966903"
"2019-06-09T18:43:10+0000","I love this episode. You really made this interesting. I've never heard of that kind of ice cream. I've never heard of a couple of the ingredients you used. Thanks for describing them to us","2729925240593441_1574019902729864"
"2019-06-09T19:25:51+0000","I love our people's icecream!!! It really is amazing!!! She did a fantastic job making it!!! She made me laugh!!!","2729925240593441_167158384317546"
"2019-06-09T18:16:08+0000","Loved it! And Hannah was great! Keep doing these. 🙂","2729925240593441_486540125221364"
"2019-06-09T18:54:17+0000","I love this girl. And I’m a huge history buff, also love food. So this is very entertaining!","2729925240593441_1273136019517841"
"2019-06-09T20:25:23+0000","Nieves in Mexico are still made like this ❤ it’s beautiful and delicious","2729925240593441_445209932879379"
"2019-06-09T18:57:16+0000","This gives me Good Eats vibes and I'm loving it.","2729925240593441_170907330601236"
"2019-06-09T18:23:34+0000","Booza presented in an amazing way 👌😋😋😋","2729925240593441_440921296695790"
"2019-06-09T18:35:46+0000","In the old city of Damascus there is a restaurant that has been there for over a hundred years that makes this!  It’s delicious","2729925240593441_305525763689361"
"2019-06-09T18:09:30+0000","From getting Drunk in her kitchen to freelancing for Buzzfeed and the Ellen Show. You go Hannah.","2729925240593441_2496361620395154"
"2019-06-09T18:18:38+0000","This method is also still used in Syria and the name “booza” is Arabic for ice cream","2729925240593441_2496373600393956"
"2019-06-09T18:46:38+0000","Glad this was made the way it originally is, we still have this made in shops, lovely ice cream ❤","2729925240593441_2101563966636232"
"2019-06-09T18:11:21+0000","Ok so I freaking love this show. Keep it up! She’s hilarious!!!","2729925240593441_339194143435609"
"2019-06-10T03:51:59+0000","The best Bozza in Damascus . I love ❤️ it","2729925240593441_199967887641605"
"2019-06-09T18:57:33+0000","Loved it! They still have famous boozah shops in Palestine making it this way!","2729925240593441_842302752797174"
"2019-06-09T19:33:53+0000","I love it! She's hilarious! I love her personality! And now I want some booza, too.","2729925240593441_323270571906465"
"2019-06-10T05:34:52+0000","Wow, she is so good, great video, can’t wait to have my favorite ice cream here.","2729925240593441_696091487527594"
"2019-06-09T20:33:14+0000","I love watching you cook in any shape, manner or form.  However, MDK has a special place in my heart.","2729925240593441_140408197045165"
"2019-06-09T18:15:37+0000","Loved her and the episode! Awesome stuff","2729925240593441_2378581832468027"
"2019-06-14T19:21:25+0000","You brought back memories from my childhood of Bozza from a place called Bakdaash in old Town Damascus ❤️❤️❤️ great episode, thank you for making it 🌸","2729925240593441_383328262317081"
"2019-06-10T02:13:02+0000","This bakery is 5 miles from my house. I'm going to get Booza!!","2729925240593441_141322576982307"
"2019-06-09T20:49:55+0000","So excited that Le Mirage is only 15 minutes from my house! Can’t wait to try some booza 🙌🏼","2729925240593441_317507899202237"
"2019-06-10T03:05:04+0000","Ok I really love this chick. She's so entertaining.","2729925240593441_475927146510784"
"2019-06-09T19:19:50+0000","That feeling when le mirage is 10 mins away from you.. definitely gonna try some today, great video","2729925240593441_682940528810948"
"2019-06-10T00:45:49+0000","Turkish ice cream (booza) is the BEST! It’s best when it’s served to you in the authentic way, too!","2729925240593441_906054139743069"
"2019-06-11T21:45:37+0000","I remember in Bethlehem Palestine  prior to 6 days war there was 2 families that made this ice cream   BOOZIT   SALAMEH , AND  BOUZIT eL HAZEEN  both coffee shops were located  Fil MADBASEH   شارع المدبسة   Loved it. Those days were beautiful. its history now.  But at least I am part of that beautiful history.💞🇦🇪️Palestine💞😘","2729925240593441_142542203522287"
"2019-06-09T18:22:39+0000","This method is used in the levantine region and booza means ice cream in slang arabic","2729925240593441_2358900347465534"
"2019-06-09T20:23:34+0000","My grandfather use to make regular Ice cream in Mexico this way I remember one time helping him","2729925240593441_163994527965386"
"2019-06-10T04:56:28+0000","This girl is trying too hard to be funny that it’s coming off as insincere. Just be yourself and people will like u for who u are","2729925240593441_609771589433347"
"2019-06-10T05:28:51+0000","This place is near me and Disneyland !","2729925240593441_1603191739811078"
"2019-06-09T20:19:23+0000","Most entertaining Tasty chef I've ever watched hahahaha. Love the show 😍💕","2729925240593441_458817444682948"
"2019-06-09T18:48:00+0000","Hannah should definately be making more of the videos and episodes. Shes pretty awesome!","2729925240593441_118390049391710"
"2019-06-09T20:27:49+0000","Booza means ice cream in Arabic 🙄","2729925240593441_149206239576300"
"2019-06-09T18:25:39+0000","That is so cool! I want to go to the restaurant now and try booza! I don't like too far from it. 😎","2729925240593441_2358903994131836"
"2019-06-09T19:18:00+0000","Booza means ice cream in Arabic....","2729925240593441_2101597893299506"
"2019-06-13T05:38:07+0000","There is booza in Anaheim? I know where I will be tomortow!!","2729925240593441_462393191176993"
"2019-06-10T06:30:32+0000","Best ice cream ever. Reminds me of my childhood days","2729925240593441_179666223042034"
"2019-06-09T18:26:00+0000","how about to say it comes from Damascus","2729925240593441_450207435526024"
"2019-06-09T18:09:33+0000","When she said bats my face was like😲🤢🤢 then🙂","2729925240593441_2378579152468295"
"2019-06-09T18:20:08+0000","MASTIC!?? Really!?? I will pass on that, thank you!","2729925240593441_2332968403613139"
"2019-06-09T18:23:59+0000","""Mastic is an organic glue made from the sticky resin of the mastic tree. ... Some manufacturers are promoting their tile adhesive as water-resistant and safe when subjected to limited moisture exposure, they further claim that it can be safely used to tile the walls of tub surrounds.""

Uhh.... No thanks.","2729925240593441_344732492909021"
"2019-06-12T20:14:32+0000","Sara Sanchez I just made some honey lavender and buttered popcorn ice cream two days ago...gonna churn it tomorrow :)","2729925240593441_625141137998822"
"2019-06-10T02:11:36+0000","Is booza similar to Turkey ice cream?","2729925240593441_122323142315354"
"2019-06-09T18:15:09+0000","Hannah, I have been watching you since the oharto days. It makes me so happy to see you attain the notoriety and success you deserve","2729925240593441_339195463435477"
"2019-06-09T19:27:58+0000","This girl is fantastic and I am fascinated by the history segments. Keep them coming.","2729925240593441_335380623795833"
"2019-06-09T19:01:47+0000","I'm totally loving this edible history segment","2729925240593441_399789087294919"
"2019-06-09T23:14:51+0000","Fantastic show! Well done! Fun and educational 👍❤️","2729925240593441_658703737936386"
"2019-06-09T19:03:56+0000","This bakery is fantastic. 
Never knew about the ice cream though.","2729925240593441_2237698983209634"
"2019-06-09T18:13:02+0000","Hannah Hart is still a thing?","2729925240593441_486538801888163"
"2019-06-09T18:15:14+0000","I absolutely loved your episode of Drunk Kitchen when you made Poutine... so funny!","2729925240593441_356964738177807"
"2019-06-09T18:14:10+0000","we do make  icecream this way in Eastern Turkey ,yes using sahlap makes it yummy!","2729925240593441_440917106696209"
"2019-06-09T18:03:21+0000","Booza Dak it's called in Lebanon 😍","2729925240593441_2730041537248478"
"2019-06-10T06:58:12+0000","We have a very famous shop in old Damascus which serves ice-cream this way. Proud to say it's a very delicious Syrian desert","2729925240593441_131292684733614"
"2019-06-11T11:34:31+0000","I love booza!  Ice cream that snaps is the best.  I've had it in the Middle East and once I found a vendor at an International Festival.  They even pull it like taffy which gives it a really great snap.","2729925240593441_113503196571536"
"2019-06-09T18:07:30+0000","Looks tasty .. though I've seen better acting by the plumbers on RedTube","2729925240593441_438955206653481"
"2019-06-10T02:02:18+0000","Very interesting no I have not","2729925240593441_1263057733859389"
"2019-06-09T18:12:10+0000","The cooking history concept is great but Tasty needs to get a new host this chick is annoyingly flippant.","2729925240593441_2378580312468179"
"2019-06-10T03:56:40+0000","I love hannah hart HAHAHAHAHA she's so funny! ""now, its time to make a boom"" ""i think im too short*climbs up aha!""","2729925240593441_107807433819631"
"2019-06-09T18:07:04+0000","I would love to try something like this!","2729925240593441_192487858338607"
"2019-06-09T23:59:00+0000","YOOOOO this place is literally next to my neighborhood!! i pass by it all the time to school!!! i always thought it was a french pastry shop haha","2729925240593441_477509099667062"
"2019-06-09T22:22:31+0000","How could anyone judge my drunk kitchen? It literally taught me to cook in nearly 20s enough that drunken me lived to be in her 30s and make bomb food for her family. Hannah is like this cool bestie I had in college...except we never met.","2729925240593441_350364765621592"
"2019-06-09T18:53:36+0000","Demone remember when you made ice cream in a hotel room for Karter's birthday. Good memories 💙","2729925240593441_119815319246943"
"2019-06-09T20:25:27+0000","Booza is the arabic word for Ice Cream 😁👌","2729925240593441_349656582367976"
"2019-06-09T21:52:35+0000","This is my new favorite thing to watch. I love these videos and Hannah is a pleasure to watch, she is funny and I like to see what she makes!!","2729925240593441_1073641512822339"
"2019-06-09T18:50:28+0000","Watching this with a stupid big grin on my face.
Informative and entertaining!","2729925240593441_170906157268020"
"2019-06-09T18:15:48+0000","In Ecuador South America we also make the ice cream hand made its called “helado de Paila”","2729925240593441_339195670102123"
"2019-06-10T04:38:21+0000","That’s what we just call ice cream in Arabic “Booza”.","2729925240593441_839095533122571"
"2019-06-09T22:47:48+0000","I remember making hand-churned ice-cream in a wooden bucket when I was younger. 
I’d love to do it again, but was wondering if there are any good ways to dispose/re-use the salty slush after making a batch. 

Any ideas most appreciated!","2729925240593441_2424403344457506"
"2019-06-10T17:36:08+0000","VERY Interesting. Love the way she presents this. Fun!","2729925240593441_696598557432926"
"2019-06-11T01:13:17+0000","She for sure made me chuckle ...give her cudos for a great job...for I could never do this....","2729925240593441_198915971077007"
"2019-06-09T21:42:10+0000","Hannah Hart is the best!!","2729925240593441_448942482335399"
"2019-06-10T06:40:59+0000","booza literally just translates to ice cream lol...”a stretchy ice cream called ice cream”","2729925240593441_408316916434914"
"2019-06-09T19:05:15+0000","Sahlep and sakiz(mastic) ooh yeah. Also i'm not sure but real ice cream's milk should be goat milk. Even goat milk is disgusting.","2729925240593441_323260241907498"
"2019-06-09T18:33:00+0000","Looks good, I'm willing to make it","2729925240593441_450210052192429"
"2019-06-09T18:21:08+0000","So cool! Thank you for sharing!","2729925240593441_1166155523554486"
"2019-06-10T13:23:16+0000","Wow nice the tecture looks like Greek Kaimaki ice cream, I guess it has to do with mastic in both of them. :P","2729925240593441_2086138961683383"
